epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.7210035930723833,0.21509363990357871,1.4717242632593428,0.23404255319148937,4.536422029440215e-06
2,1.321291960908111,0.23233821620619322,1.2980072398980458,0.3373860182370821,6.133698593024646e-06
3,1.2300655693697506,0.2601520489523456,1.2715039877664476,0.3069908814589666,8.756129093427661e-06
4,1.2013150249007185,0.28444279621731877,1.1008387420858656,0.5227963525835866,1.2345099801853757e-05
5,1.159888605394307,0.31429631003152236,1.0800740463393075,0.5113981762917933,1.6820393928677308e-05
6,1.1237770294296672,0.35712961246059705,1.2252883300894784,0.37537993920972645,2.2081984542321077e-05
7,1.0903750210118717,0.37900982755423696,1.1159814326536088,0.4452887537993921,2.80122702629912e-05
8,1.0799367942753628,0.3756721676246987,0.9669637296880994,0.621580547112462,3.447870376146088e-05
9,1.0540626585130861,0.40237344706100503,1.1207396515778132,0.3913373860182371,4.133675431354308e-05
10,1.0565901899478845,0.3984795104765437,1.0009238294192724,0.5281155015197568,4.843313819443979e-05
11,1.0179729352335958,0.4324123864268496,0.9154127467246282,0.6056231003039514,5.560924471068949e-05
12,1.0124800229919027,0.43389579083997776,0.9842616837649119,0.5349544072948328,6.270468129475357e-05
13,0.9910716530839367,0.4463193027999258,1.0052147450901212,0.5288753799392097,6.956085842612424e-05
14,0.9858627961232111,0.4609679213795661,0.9069824240037373,0.6375379939209727,7.6024534252676e-05
15,0.9730654140195903,0.47951047654366774,1.021032412846883,0.4886018237082067,8.195123968672042e-05
16,0.9553190889443166,0.4952716484331541,0.9550856465385074,0.6003039513677811,8.720850742172312e-05
17,0.9541800269008388,0.48340441312812904,1.0786791883763813,0.42325227963525835,9.167883269819578e-05
18,0.9333406820805115,0.5047283515668459,0.9442965714704423,0.5630699088145896,9.526229964292741e-05
19,0.9293405434789037,0.5123307991841276,1.1438110385622298,0.44984802431610943,9.78788144804628e-05
20,0.9116283556413368,0.5269794177637679,0.8592983782291412,0.6436170212765957,9.946989570250149e-05
21,0.905846600701823,0.5329130354162803,0.9111169668890181,0.6390577507598785,9.999999640190652e-05
22,0.8876419211985797,0.5425551641016132,0.8249429975237165,0.6231003039513677,9.98960511351771e-05
23,0.8769979219464861,0.552011867235305,0.9280355317252023,0.574468085106383,9.958707311350674e-05
24,0.8571839339634371,0.5779714444650473,0.8719376779737926,0.6261398176291794,9.907433199386204e-05
25,0.8493190453602717,0.5877989987020211,0.9563099614211491,0.5243161094224924,9.835993473948625e-05
26,0.8447193693832533,0.5946597441127387,0.7735787935200191,0.7120060790273556,9.744681696193536e-05
27,0.826740000727614,0.6061561283144817,0.7659876793622971,0.7059270516717325,9.633873085802044e-05
28,0.8249700743065783,0.6013350639718154,0.9169561692646572,0.5889057750759878,9.504022979122623e-05
29,0.8065379018614278,0.6213610235490451,0.8853145057246798,0.6291793313069909,9.355664958096376e-05
30,0.7960102166649858,0.6261820878917115,0.7405553729761214,0.7454407294832827,9.1894086576544e-05
31,0.8082063945792836,0.6237715557203782,0.7468264897664388,0.708966565349544,9.005937260597072e-05
32,0.7730524109665459,0.6523270906730948,0.7566953507207689,0.7180851063829787,8.806004690249393e-05
33,0.772786268115749,0.6515853884665307,0.7732228331622624,0.7180851063829787,8.590432512428323e-05
