epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.6987826471498026,0.21861672538475801,1.42671381291889,0.26063829787234044,4.536422029440215e-06
2,1.3111331335891634,0.2284442796217319,1.2446736239251637,0.364741641337386,6.133698593024646e-06
3,1.24696774736664,0.25681438902280734,1.3209114855244046,0.25835866261398177,8.756129093427661e-06
4,1.192364311782566,0.27646949749675503,1.1972624404089791,0.4452887537993921,1.2345099801853757e-05
5,1.1577107687673625,0.32226960875208605,1.0847389981860207,0.49620060790273557,1.6820393928677308e-05
6,1.1193606627763375,0.34526237715557206,1.1042163258507138,0.5151975683890577,2.2081984542321077e-05
7,1.092604055912537,0.3804932319673651,1.0907037045274461,0.4612462006079027,2.80122702629912e-05
8,1.0614852090559062,0.4070090858520304,0.9579818135216123,0.5790273556231003,3.447870376146088e-05
9,1.0419054997743233,0.413869831262748,0.962760288090933,0.5638297872340425,4.133675431354308e-05
10,1.0227591726906906,0.4198034489152605,0.8491168944608598,0.6998480243161094,4.843313819443979e-05
11,1.002684218643685,0.4411273873539774,1.0800688011305672,0.493161094224924,5.560924471068949e-05
12,0.9936855784534703,0.4405711106990543,0.9814644711358207,0.5980243161094225,6.270468129475357e-05
13,0.9875083869025552,0.4518820693491563,0.8480653493177324,0.6785714285714286,6.956085842612424e-05
14,0.9649169695447888,0.4908214351937697,0.9684904203528449,0.5600303951367781,7.6024534252676e-05
15,0.9589022905868891,0.4782124976821806,1.058070372257914,0.5098784194528876,8.195123968672042e-05
16,0.9466516647113146,0.4917485629519748,1.032932962690081,0.493161094224924,8.720850742172312e-05
17,0.9355594438208631,0.5013906916373077,0.948780935435068,0.5775075987841946,9.167883269819578e-05
18,0.9283219533559133,0.5132579269423326,0.8130124133257639,0.6793313069908815,9.526229964292741e-05
19,0.902951194689824,0.5305025032449472,0.9655771383217403,0.567629179331307,9.78788144804628e-05
20,0.905359113004786,0.5277211199703319,0.9777348857550394,0.540273556231003,9.946989570250149e-05
21,0.9020869047684077,0.5384758019655108,0.814215987211182,0.6922492401215805,9.999999640190652e-05
22,0.9012008820765117,0.5342110142777675,0.9147883093073255,0.5972644376899696,9.98960511351771e-05
23,0.8738464011243109,0.5549786760615613,0.9003035532576698,0.5752279635258358,9.958707311350674e-05
24,0.8703472339189969,0.5655479325050992,0.8085570839189348,0.709726443768997,9.907433199386204e-05
25,0.8634541115817234,0.5625811236788429,0.8950239717960358,0.581306990881459,9.835993473948625e-05
26,0.8446002433285911,0.5902095308733544,0.785729393362999,0.6930091185410334,9.744681696193536e-05
27,0.843554548610597,0.5933617652512516,0.8665706132139478,0.6056231003039514,9.633873085802044e-05
28,0.8266246675034247,0.6039310216947895,0.7938425760893595,0.689209726443769,9.504022979122623e-05
29,0.7999364187026164,0.6269237900982756,0.80065299144813,0.6496960486322189,9.355664958096376e-05
30,0.8045905715615086,0.6154274058965326,0.9733997129258656,0.5721884498480243,9.1894086576544e-05
31,0.7920135312531826,0.6419432597811978,0.8670043994983038,0.6352583586626139,9.005937260597072e-05
32,0.785537602280724,0.6373076209901725,0.8639410670314517,0.6519756838905775,8.806004690249393e-05
33,0.7649986937906615,0.6573335805674022,0.7532146402767727,0.763677811550152,8.590432512428323e-05
34,0.755916000117917,0.6699425180789913,0.7017259647448858,0.7712765957446809,8.360106559452616e-05
35,0.7553613397496692,0.6643797515297608,0.77346775219554,0.7074468085106383,8.115973290067812e-05
36,0.7447732831599444,0.6716113480437604,0.767378582131295,0.7104863221884499,7.859035900244236e-05
37,0.7372721528865882,0.6769886890413499,0.9408357945226488,0.6542553191489362,7.590350200829567e-05
38,0.7295411698211579,0.6860745410717597,0.8248189120065599,0.7180851063829787,7.311020278995603e-05
39,0.7141775115001836,0.7023919896161691,0.7768318674394062,0.7317629179331308,7.022193961307244e-05
40,0.7112984205844134,0.7049879473391434,0.771597696911721,0.7226443768996961,6.725058097056917e-05
41,0.6948585182252015,0.7187094381605785,0.819057693084081,0.6975683890577508,6.420833681246273e-05
42,0.6964988343461731,0.7250139069163731,0.7932043877385911,0.7332826747720365,6.110770837255809e-05
43,0.6768261444639172,0.7300203968106805,0.7704133824223564,0.7264437689969605,5.796143679819752e-05
44,0.6840999382134725,0.7303912479139626,0.7087329214527494,0.756079027355623,5.4782450794153225e-05
45,0.6692396192508336,0.7387353977378083,0.8934154091846376,0.6565349544072948,5.158381349580618e-05
46,0.6650938204759677,0.7448544409419618,0.7324418248165221,0.7416413373860182,4.837866878992085e-05
47,0.6574223574096635,0.7539402929723716,0.786313377675556,0.702887537993921,4.518018730359506e-05
48,0.6445661769110775,0.7593176339699611,0.7192451691343671,0.7712765957446809,4.20015122833283e-05
49,0.6316927500377746,0.7771184869274986,0.7271366452886945,0.7651975683890577,3.885570558660246e-05
50,0.6310279143632517,0.7756350825143705,0.7276752023469835,0.7659574468085106,3.575569400790785e-05
51,0.6112951415883013,0.7882440200259596,0.75554154529458,0.7317629179331308,3.2714216159771694e-05
52,0.6208867629956917,0.7863897645095494,0.8175943522226243,0.6990881458966566,2.9743770127066922e-05
