epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.7062233023389557,0.2091600222510662,1.4845867951711018,0.19680851063829788,4.536422029440215e-06
2,1.2882810464272132,0.23864268496198776,1.3440917134284973,0.25835866261398177,6.133698593024646e-06
3,1.2229937180964905,0.2560726868162433,1.232218201671328,0.439209726443769,8.756129093427661e-06
4,1.1954215807322215,0.28314481735583164,1.1410639200891768,0.49240121580547114,1.2345099801853757e-05
5,1.1547987094292274,0.30706471351752274,1.0533995599973769,0.5554711246200608,1.6820393928677308e-05
6,1.1148660426309123,0.35583163359910996,1.048931401400339,0.5729483282674772,2.2081984542321077e-05
7,1.1041741011410775,0.36139440014834046,1.0671579873278028,0.5159574468085106,2.80122702629912e-05
8,1.0577469140114868,0.4036714259224921,1.1096864144007366,0.3966565349544073,3.447870376146088e-05
9,1.0359786893489094,0.41961802336361953,0.9947338522899718,0.5645896656534954,4.133675431354308e-05
10,1.02485198664242,0.41442610791767104,0.8662009785572687,0.6869300911854104,4.843313819443979e-05
11,1.0084658236898614,0.43982940849249025,0.9517292798984618,0.6041033434650456,5.560924471068949e-05
12,0.9996780890684861,0.4422399406638235,1.0198570759523482,0.5455927051671733,6.270468129475357e-05
13,0.9924664063566535,0.4494715371778231,0.9007526990913209,0.6322188449848024,6.956085842612424e-05
14,0.9728647717357387,0.47543111440756536,0.9188577788216727,0.6086626139817629,7.6024534252676e-05
15,0.9840697233493512,0.45670313369182275,1.0548747706980932,0.47188449848024316,8.195123968672042e-05
16,0.9672402478534089,0.47951047654366774,1.0341246596404485,0.49240121580547114,8.720850742172312e-05
17,0.9619863301339234,0.470980901168181,0.863904459845452,0.64209726443769,9.167883269819578e-05
18,0.9614598691110781,0.4917485629519748,1.006439447402954,0.5539513677811551,9.526229964292741e-05
19,0.94531010029584,0.4987947339143334,1.0260241904429026,0.5440729483282675,9.78788144804628e-05
20,0.9523304394010962,0.4811793065084369,0.9544557765835807,0.5835866261398176,9.946989570250149e-05
21,0.9428019167403497,0.5013906916373077,0.8977245589097341,0.6101823708206687,9.999999640190652e-05
22,0.9322876979613445,0.5128870758390506,0.8607138232106254,0.6633738601823708,9.98960511351771e-05
23,0.9157614309406845,0.5206749490079733,0.8168708682060242,0.6838905775075987,9.958707311350674e-05
24,0.9106705192278123,0.5299462265900241,0.815691236938749,0.6914893617021277,9.907433199386204e-05
25,0.8988137594341526,0.5369923975523827,0.9046228804758617,0.5965045592705167,9.835993473948625e-05
26,0.8895835710700447,0.5508993139254589,0.8749835611808867,0.6299392097264438,9.744681696193536e-05
27,0.8678285789912974,0.5790839977748934,0.8745905047371274,0.6375379939209727,9.633873085802044e-05
28,0.8488760671672031,0.5801965510847394,0.7765644717784155,0.7104863221884499,9.504022979122623e-05
29,0.850925506219356,0.5892824031151492,0.96156088582107,0.5790273556231003,9.355664958096376e-05
30,0.8275004847515264,0.6068978305210458,0.7964260634921846,0.6937689969604863,9.1894086576544e-05
31,0.8142007017982077,0.6215464491006861,0.9380891110215869,0.5957446808510638,9.005937260597072e-05
32,0.8127994237566841,0.620619321342481,0.8342896189008441,0.64209726443769,8.806004690249393e-05
33,0.8005089943225567,0.6274800667531986,0.7410762927361897,0.7462006079027356,8.590432512428323e-05
34,0.8051864522448658,0.6293343222696087,0.9353111812046596,0.5980243161094225,8.360106559452616e-05
35,0.7877826087573576,0.6482477285369924,0.7699113516580491,0.71580547112462,8.115973290067812e-05
36,0.7675842960205304,0.666975709252735,0.8160870586122785,0.6793313069908815,7.859035900244236e-05
37,0.7676460958091464,0.6619692193584276,0.8677761107683182,0.628419452887538,7.590350200829567e-05
38,0.7534039895210041,0.6697570925273503,0.8974173232203438,0.6132218844984803,7.311020278995603e-05
39,0.7398844773952777,0.6790283701094011,0.8513337721427282,0.6679331306990881,7.022193961307244e-05
40,0.7481196254668151,0.6792137956610421,0.7604797950812748,0.7249240121580547,6.725058097056917e-05
41,0.7319903162104138,0.6921935842759133,0.8189551383256912,0.668693009118541,6.420833681246273e-05
42,0.7355269186595488,0.6973854997218617,0.8189949726774579,0.6831306990881459,6.110770837255809e-05
43,0.7198943732052865,0.6949749675505285,0.737932169011661,0.7386018237082067,5.796143679819752e-05
44,0.7060386058846875,0.7289078435008344,0.7209424291338239,0.756079027355623,5.4782450794153225e-05
